"","IBNR","CL","ODP","EV","DP"
"170",7705,9169.5,9175.54857977392,9126.74281165605,9334.08924020217
"171",8329,7642.5,7586.58361321972,7569.15523246734,7839.53657717292
"172",8412,7667,7601.8302308227,7574.2172309398,8164.60438777257
"173",6610,6080.5,6080.08556496548,6035.0245133173,6344.98448085169
"174",8035,8278.5,8247.00244275351,8239.28119747266,8328.87702120371
"175",8557,7758,7741.37082464845,7718.63844342228,8016.6567064514
"176",7844,7914.5,7888.99226040046,7936.60431267526,8033.01072301173
"177",7139,7573,7524.41546005137,7534.28299564416,7612.62342146851
"178",6541,7703,7659.44028816997,7634.82353061345,7765.71547421383
"179",8228,7512,7487.8720650051,7497.31608414266,7759.87353290186
"180",7722,7777,7777.57508915391,7740.3077924179,8134.89221391542
"181",9034,8514,8525.8007501286,8467.58627990793,8684.83996063509
"182",9313,8642,8635.16685586278,8619.14626860944,8943.78703847429
"183",9583,7664.5,7647.48389149994,7637.77251178405,7816.30711677403
"184",6748,8158.5,8115.46098969858,8131.53783509205,8107.84430080743
"185",10019,9060,9054.18899330621,9061.71481214317,9513.41665567082
"186",8010,8550,8516.60616218408,8540.76184274803,8650.99005533855
"187",7385,7502,7482.32299151936,7442.68174317359,7678.62343107169
"188",7904,7642,7606.06905245334,7607.24866276708,8241.60779780503
"189",7463,6745.5,6725.42508501792,6716.04313704433,7243.91925634761
"190",7003,7570,7557.11897852114,7540.33211617553,7774.70657051574
"191",6749,6575.5,6555.97615992931,6560.8163568213,6817.61210226071
"192",7736,9154.5,9107.59009367789,9091.50931746144,9620.40545298388
"193",9745,8138,8086.76073300579,8115.72649146886,8810.46633314249
"194",6826,6379.5,6391.97641990579,6403.50512606863,6700.20169840254
"195",7160,6570.5,6537.4172751813,6540.59556710748,6664.92850942664
"196",8003,8384.5,8315.10661228787,8309.42926547222,8590.66986499573
"197",7801,7829.5,7815.68768127739,7869.87108705616,8137.10424601439
"198",7936,7925,7877.73049057816,7872.53797010447,8413.44704929113
"199",8777,7875,7823.22927398287,7811.03632778987,8211.18039547811
"200",8523,8095.5,8059.89457471007,8047.95852139964,8372.50183613981
"201",7247,7751.5,7758.85679190777,7762.72453115535,8142.73816025536
"202",7806,7302,7279.32129156751,7284.94801013176,7662.43116618805
"203",8785,7802,7829.29114013743,7781.9572350671,8330.55696001792
"204",7411,8147,8131.57356233011,8115.59550992654,8260.74593693625
"205",8903,7803.5,7765.32333837465,7739.41926095871,8405.57301091156
"206",7610,7349,7283.08197791559,7281.76143604851,7377.1358366999
"207",7937,7332,7297.28561710573,7288.33599769151,7877.17853210548
"208",8357,8741,8717.73662193752,8693.07331090129,9117.87263588292
"209",7616,8393,8348.11539686048,8317.03893632699,8726.29059185647
"210",8604,7845,7798.42530295729,7793.35225494963,8067.73293272226
"211",7430,7762,7712.15323785903,7666.40678943762,8242.35433075154
"212",7930,8168.5,8142.47054535207,8117.53661295141,8368.37098050721
"213",9508,8002.5,8006.83860453263,7969.45677767425,9043.87735779557
"214",6999,7590,7586.11213840038,7543.92518023219,7902.59773690318
"215",9575,9033.5,8944.64209528969,8931.22419225709,9841.48652243767
"216",8429,8646.5,8575.74148796369,8528.28207961809,8864.83109878653
"217",7734,8168.5,8124.1552901947,8113.13983884606,8488.71833640536
"218",6666,7025.5,6985.21892170141,7003.52924612426,7050.30351405226
"219",7968,7228.5,7201.22751029505,7199.28381581734,7427.99053989583
"220",8043,7964,7944.29432622861,7918.65537540837,8012.22528983303
"221",8260,8334,8301.14168502515,8298.97443397824,8705.74410125326
"222",8386,7387.5,7345.92822602003,7317.37353581598,7763.74333393245
"223",7227,7242.5,7241.40206746016,7209.60107642302,7662.46512323508
"224",7292,7514.5,7472.26688200078,7443.41215737546,7691.99631920995
"225",8992,8050.5,8020.88149707271,8008.53903910993,8418.91889076235
"226",7941,7901.5,7883.20756580445,7894.99741524564,8119.75141901901
"227",8306,8516.5,8474.11521120676,8477.15173463074,8575.29678860866
"228",7588,7733.5,7708.69093059227,7707.26896373716,7728.284242736
"229",8199,8062,8025.09772105743,8028.91069010343,8285.80357585497
"230",7297,7855,7812.41899075151,7780.45296093737,8021.45068225851
"231",8496,6983,7002.06691278329,6998.30715176772,7299.01795938925
"232",9349,8899,8892.44733099057,8873.80456443021,9190.98278465136
"233",9553,8760.5,8730.11068232415,8711.54297222875,8995.23471255128
"234",6992,7515.5,7491.42944458227,7503.36545428691,7559.04426018689
"235",7971,7663,7659.09260111688,7616.97877225272,7990.46934370344
"236",8205,7051,6994.66324678496,6973.93225606223,7463.2074265738
"237",7917,7949.5,7929.24406032017,7912.63602969423,8227.34045383852
"238",7716,7774,7760.25512491283,7745.02175942661,8141.8171949228
"239",7034,6330.5,6300.71187843324,6295.11625833847,6687.71967360024
"240",8178,8398.5,8355.26122453159,8319.24263849442,8577.68661075887
"241",8032,7684.5,7646.58894003153,7642.61244489664,8069.02249982386
"242",8724,8938.5,8880.83420784812,8861.75119931162,9443.31787921398
"243",8414,7864,7801.84676027254,7796.47751730719,8597.57353247747
"244",8569,8080.5,8017.17003856571,8028.58542044296,8639.91717925289
"245",8245,9344,9240.40787378777,9215.29362486924,9189.74057115066
"246",7940,8081,8070.0084028412,8028.22031442507,8342.59568916233
"247",8214,7507,7440.39077510612,7417.47575589503,7831.46974203476
"248",7833,7009,7006.46997560273,6998.70402960442,7302.48086705955
"249",7160,7383,7369.19359004203,7334.3643990569,7597.05294221177
"250",7461,8382,8358.03304593311,8315.82654830923,8251.72588344513
"251",7217,8451,8439.27793653699,8413.18764198181,8731.92812535381
"252",6454,7274.5,7263.54909814153,7224.78013340819,7543.99778748188
"253",7123,7113,7062.47717300259,7068.0396976016,7364.75295154524
"254",9159,8260,8196.8366573216,8208.86565493596,8931.2326651174
"255",9584,8862,8846.94572912652,8834.94492927832,9123.80804051218
"256",7074,8711,8664.5819137963,8635.1399888141,8617.67959994065
"257",7732,7682.5,7643.79018936371,7650.11632491107,7867.62880790362
"258",7280,7995,7958.30276546343,7955.81456995918,8287.04241638686
"259",10485,8229,8190.83739130811,8233.62344966259,8426.06141140753
"260",8222,6786,6766.45567125145,6739.82263172732,7110.66976897701
"261",8238,7611,7581.00993547235,7576.62372114191,7969.21153209283
"262",7205,8064.5,8042.88602262438,8022.65623196455,8139.2072967412
"263",6792,6971,6947.06676355471,6943.26328625495,7273.641090035
"264",9149,7364,7336.32803273224,7324.6981565053,7779.14765454901
"265",8165,7750,7748.88440520343,7740.77944965626,8062.49111051129
"266",8190,7461,7459.51173656518,7493.75294521881,7673.39449666677
"267",8210,7913,7804.87769700692,7835.00831345839,8282.20546946213
"268",7622,8230.5,8190.18300121722,8172.84124140167,8476.84963957767
"269",7743,6960,6940.57430063015,6918.49892871263,7514.66405133252
"270",8290,8795,8687.70297336435,8723.24409324291,9275.22996021281
"271",7484,7848.5,7803.61746364111,7822.40392592365,8061.86249873296
"272",8370,8569,8525.30323414513,8517.49657196852,8813.96930500375
"273",8689,8258,8233.23872617319,8230.86196711464,8678.35522151687
"274",9482,8385,8377.43398569978,8334.48817393115,8805.04447750836
"275",9115,8084.5,8037.32874222942,8014.7247030012,8651.90621558203
"276",7086,7529.5,7489.01541313719,7486.5588598095,7743.12534414809
"277",7459,7927,7939.09379018061,7937.61758607644,8043.04696366451
"278",8261,8468,8440.27654871326,8440.00370927958,8552.75474002161
"279",7068,7532.5,7482.87054420321,7449.04801306107,7760.40478364978
"280",6809,6469,6427.33513145935,6394.79236884993,6639.05340460819
"281",7703,7733.5,7710.52239952928,7678.53433308567,8068.38815804642
"282",7895,6677,6670.97899321118,6631.54575548781,7328.94925973424
"283",9948,8626.5,8621.34748959834,8611.83949983363,8871.65041860664
"284",7020,7878,7839.4523440178,7786.62727968255,8143.949030155
"285",7009,7496,7477.61782279872,7469.5952535031,7515.62012956261
"286",8817,8545,8435.98517740453,8449.12283113918,8786.61441270528
"287",9198,8880,8838.13498139946,8829.80327135507,9087.12828412504
"288",7915,8314,8312.39007033494,8323.19857061045,8622.81861545899
"289",7853,7900.5,7901.90203712008,7878.96928574617,8171.20804108072
"290",8868,7937,7880.89620855179,7865.86483523462,8327.54397387821
"291",8599,7986.5,7927.86079229719,7935.93388219928,8130.5429639421
"292",7838,7961.5,7947.70856356369,7930.53925175095,8159.94317813595
"293",6641,8191.5,8130.326071243,8151.17841077598,8381.38086923966
"294",8009,7373,7359.46413446969,7341.6094735151,7533.37938069432
"295",8150,8479.5,8447.01837210228,8418.43439140756,8736.70899673631
"296",8105,8939.5,8900.55366721117,8894.20267367547,9171.55952524281
"297",7000,8547,8546.5339987647,8497.06670990746,8762.61974313349
"298",8881,8679,8649.12833785706,8601.93135582789,8939.96360615404
"299",7425,7197.5,7153.32670669304,7140.27389314633,7543.63079941565
"300",7490,7883.5,7853.01868542912,7834.43078616126,7836.60826606407
"301",7735,7249.5,7256.62786765537,7218.64289869207,7762.68541640415
"302",6637,6848.5,6815.33504321606,6806.45817606495,7029.9755861896
"303",7403,7635,7601.40958683754,7611.47412144425,7958.64858011702
"304",7736,7960,7902.9080438442,7885.89178582323,8334.23368509881
"305",8018,7800,7739.04902252999,7758.56263855257,7876.58078186323
"306",8389,8275.5,8233.73281762319,8237.54140118387,8535.04485033805
"307",7733,8379.5,8333.90843172204,8310.56874653435,8681.59825458677
"308",7710,7879.5,7850.19679156919,7819.46823090761,8011.67949801167
"309",8089,7925,7858.90043666949,7825.86437743755,8252.77432559592
"310",6829,7264.5,7209.41731293317,7196.93277922009,7465.04703443601
"311",8058,7537.5,7527.16588356194,7471.22145992837,7809.12314279945
"312",8499,8289.5,8191.02151970861,8191.34401480026,8848.08729907956
"313",8786,8270,8238.77608869735,8205.66450386027,8589.53114459728
"314",7654,7311,7302.94788799253,7278.70277125473,7649.51713810794
"315",8350,9343.5,9288.95667827467,9257.25641028001,9597.8021977453
"316",7850,8832.5,8787.23480731582,8753.89115464527,8796.18814483662
"317",8133,7782,7759.27844454843,7711.76103258322,8128.55371850766
"318",7163,7608.5,7574.73681313545,7537.78548041653,7789.26027905018
"319",8460,8071,8077.30559332786,8073.06949669483,8266.98230401061
"320",7781,7503.5,7499.0639152151,7509.59856872991,7790.37358728988
"321",8692,7143.5,7137.0578243375,7130.91575373522,7605.87798258573
"322",8156,7507.5,7444.24081534127,7415.22375211281,7745.95434207324
"323",7593,7479,7453.15299169562,7449.74083586712,7685.76881491161
"324",8073,8190.5,8168.58776575567,8138.84005201281,8470.41280884511
"325",9030,8373.5,8364.72379692167,8338.41417062684,8647.22304021637
"326",8610,8408,8394.82898211058,8332.8644333243,8742.78737535191
"327",8518,8041.5,7989.5791587944,7953.7051179561,8462.74467024679
"328",8548,7838,7829.86153459998,7810.918148131,8063.78061891514
"329",8877,9115,9072.79760224456,9084.44755025904,9319.77448145723
"330",8785,7820,7841.93023225957,7787.97887832603,8293.90930741951
"331",8563,8533.5,8509.12849199868,8517.4463387168,8723.52727349703
"332",7724,8056,8006.85621329437,8010.02996886781,8157.2505153801
"333",8790,8239,8213.01482343008,8188.75746632444,8506.53899606617
"334",6712,8229,8118.54188286776,8112.6617277632,8292.13964652831
"335",7655,8164,8142.46783339764,8142.0527573762,8429.61321771125
"336",8298,7315,7297.95212501555,7259.144772956,7821.69518220962
"337",8672,8443,8405.33893304307,8359.3208039853,9129.41247070713
"338",7945,7266,7223.5978391708,7222.90898691337,7755.01131835201
"339",7591,6541.5,6503.60976443413,6485.4711221133,7017.33936450322
"340",6027,6900,6854.83526885695,6858.71249955756,7104.4618451581
